uf,ano_mes,casos,definicao
AC,2026-05,1,ampla
AL,2026-05,2,ampla
AM,2026-05,3,ampla
AP,2026-05,1,ampla
BA,2026-05,12,ampla
CE,2026-05,7,ampla
DF,2026-05,3,ampla
ES,2026-05,4,ampla
GO,2026-05,5,ampla
MA,2026-05,4,ampla
MG,2026-05,15,ampla
MS,2026-05,2,ampla
MT,2026-05,3,ampla
PA,2026-05,5,ampla
PB,2026-05,3,ampla
PE,2026-05,8,ampla
PI,2026-05,2,ampla
PR,2026-05,9,ampla
RJ,2026-05,18,ampla
RN,2026-05,3,ampla
RO,2026-05,1,ampla
RR,2026-05,1,ampla
RS,2026-05,11,ampla
SC,2026-05,6,ampla
SE,2026-05,2,ampla
SP,2026-05,42,ampla
TO,2026-05,2,ampla
